"ins","type_entity","entity","period","value"
"3000","Région","Wallonie","01/01/2019","215.0"
"20002","Province","Brabant Wallon","01/01/2019","367.9"
"25000","Arrondissement","Nivelles","01/01/2019","367.9"
"25005","Commune","Beauvechain","01/01/2019","187.8"
"25014","Commune","Braine-l'Alleud","01/01/2019","764.8"
"25015","Commune","Braine-le-Château","01/01/2019","463.7"
"25018","Commune","Chaumont-Gistoux","01/01/2019","244.1"
"25023","Commune","Court-Saint-Étienne","01/01/2019","392.2"
"25031","Commune","Genappe","01/01/2019","170.7"
"25037","Commune","Grez-Doiceau","01/01/2019","246.1"
"25043","Commune","Incourt","01/01/2019","141.0"
"25044","Commune","Ittre","01/01/2019","196.7"
"25048","Commune","Jodoigne","01/01/2019","191.5"
"25050","Commune","La Hulpe","01/01/2019","473.3"
"25068","Commune","Mont-Saint-Guibert","01/01/2019","414.8"
"25072","Commune","Nivelles","01/01/2019","472.3"
"25084","Commune","Perwez","01/01/2019","181.8"
"25091","Commune","Rixensart","01/01/2019","1284.6"
"25105","Commune","Tubize","01/01/2019","800.5"
"25107","Commune","Villers-la-Ville","01/01/2019","222.8"
"25110","Commune","Waterloo","01/01/2019","1422.2"
"25112","Commune","Wavre","01/01/2019","816.9"
"25117","Commune","Chastre","01/01/2019","242.1"
"25118","Commune","Hélécine","01/01/2019","209.2"
"25119","Commune","Lasne","01/01/2019","299.5"
"25120","Commune","Orp-Jauche","01/01/2019","175.7"
"25121","Commune","Ottignies-Louvain-la-Neuve","01/01/2019","941.1"
"25122","Commune","Ramillies","01/01/2019","132.9"
"25123","Commune","Rebecq","01/01/2019","279.7"
"25124","Commune","Walhain","01/01/2019","188.8"
"50000","Province","Hainaut","01/01/2019","352.5"
"51000","Arrondissement","Ath","01/01/2019","190.4"
"51004","Commune","Ath","01/01/2019","229.2"
"51008","Commune","Belœil","01/01/2019","225.9"
"51009","Commune","Bernissart","01/01/2019","270.7"
"51012","Commune","Brugelette","01/01/2019","130.4"
"51014","Commune","Chièvres","01/01/2019","146.1"
"51017","Commune","Ellezelles","01/01/2019","132.5"
"51019","Commune","Flobecq","01/01/2019","148.1"
"51065","Commune","Frasnes-lez-Anvaing","01/01/2019","104.7"
"51067","Commune","Enghien","01/01/2019","350.7"
"51068","Commune","Silly","01/01/2019","121.4"
"51069","Commune","Lessines","01/01/2019","256.7"
"52000","Arrondissement","Charleroi","01/01/2019","833.4"
"52010","Commune","Chapelle-lez-Herlaimont","01/01/2019","810.2"
"52011","Commune","Charleroi","01/01/2019","1964.7"
"52012","Commune","Châtelet","01/01/2019","1312.2"
"52015","Commune","Courcelles","01/01/2019","702.8"
"52018","Commune","Farciennes","01/01/2019","1091.4"
"52021","Commune","Fleurus","01/01/2019","385.2"
"52022","Commune","Fontaine-l'Évêque","01/01/2019","621.5"
"52025","Commune","Gerpinnes","01/01/2019","266.7"
"52048","Commune","Montigny-le-Tilleul","01/01/2019","663.8"
"52055","Commune","Pont-à-Celles","01/01/2019","309.6"
"52074","Commune","Aiseau-Presles","01/01/2019","479.1"
"52075","Commune","Les Bons Villers","01/01/2019","220.0"
